"","country_name","country_code","wals_code","X1","iso_lang_code","language_name","genus","subfamily","family","lsbranch","ssbranch","sbranch","mbranch","stock","elev_ft","elev_m","latitude","longitude","secondary_country","area","macroarea","continent","glot_features","cv_ratio","tones","rangesize","population","vehicularity","L2prop","H","H_unigram","lang.count","lang.percent","established.langs","immigrant.langs","total.speakers","mean.speakers","median.speakers","diversity.index","div.coverage","GDP"
"27","Australia","AU","nug","nuy","nuy","Nunggubuyu","Nunggubuyu","Gunwinyguan","Gunwinyguan",NA,NA,NA,"Ngandi-Nunggubuyu","Gunwingguan",164,49.9872,-13.75,135.6666667,NA,"N Australia","Australia","Australia","1 - No glottalized consonants","4 - Moderately high","1 - No tones",2773.419632,360,0,0,NA,NA,319,4.49,226,93,22693732,72504,10,0.341,0.98,58393
"28","Australia","AU","mlk","mpb","mpb","Malakmalak","Northern Daly","Daly","Northern Daly",NA,NA,NA,NA,"Northern Daly",16.4,4.99872,-13.41666667,130.4166667,NA,"N Australia","Australia","Australia","1 - No glottalized consonants","3 - Average","1 - No tones",3880.011211,10,0,0,NA,NA,319,4.49,226,93,22693732,72504,10,0.341,0.98,58393
"29","Azerbaijan","AZ","lez","lez","lez","Lezgian","Lezgic","Daghestanian","Nakh-Daghestanian","Western Samurian","Samurian (core Lezgian)","Lezgian","Daghestanian","Nakh-Daghestanian",5524.9,1683.98952,41.66666667,47.83333333,"RU","Greater Mesopotamia","Eurasia","W and SW Eurasia","2 - Ejectives only","5 - High","1 - No tones",6906.141365,761000,0,0,NA,NA,38,0.53,18,20,9280890,257802,11700,0.208,0.95,4718
"30","Azerbaijan","AZ","ava","ava","ava","Avar","Avar-Andic-Tsezic","Daghestanian","Nakh-Daghestanian",NA,"Avar","Avar-Andic","Daghestanian","Nakh-Daghestanian",5741.5,1750.0092,42.5,46.5,"RU","Greater Mesopotamia","Eurasia","W and SW Eurasia","2 - Ejectives only","5 - High","1 - No tones",12296.88591,788000,1,NA,1.68226552,11.09218788,38,0.53,18,20,9280890,257802,11700,0.208,0.95,4718
"31","Bangladesh","BD","ben","ben","ben","Bengali","Indic",NA,"Indo-European","Bangla","Eastern Indo-Aryan","Indo-Aryan","Indo-Iranian","Indo-European",32.8,9.99744,24,90,"IN","Indic","Eurasia","S/SE Asia","1 - No glottalized consonants","3 - Average","1 - No tones",201287.6053,180623600,1,0.073428541,1.734662533,9.909982681,45,0.63,41,4,165220330,3842333,15500,0.369,0.96,1671
"32","Benin","BJ","brb","bba","bba","Bariba","Southern-Central Gur","Gur","Niger-Congo",NA,NA,NA,NA,"Gur",1168,356.0064,10,2.5,"NG","African Savannah","Africa","Africa","1 - No glottalized consonants","2 - Moderately low","3 - Complex tone system",33159.01732,560000,1,NA,1.666523218,8.479182243,56,0.79,55,1,9605590,177881,64000,0.924,0.96,907
"33","Botswana","BW","ani","hnh","hnh","//Ani","Khoe-Kwadi",NA,"Khoe-Kwadi",NA,NA,NA,"Kalahari","Kwadi-Khoe",3257.9,993.00792,-18.91666667,21.91666667,NA,"S Africa","Africa","Africa","2 - Ejectives only","5 - High","2 - Simple tone system",739.4911483,1000,0,0,NA,NA,38,0.53,31,7,2213660,63247,5950,0.397,0.92,8258
"34","Botswana","BW","yey","yey","yey","Yeyi","Bantoid","Benue-Congo","Niger-Congo",NA,NA,"Bantu (narrow)","Bantoid","Benue-Congo",3120.1,951.00648,-20,23.5,"NA","S Africa","Africa","Africa","2 - Ejectives only","5 - High","2 - Simple tone system",80939.61307,24000,0,0,NA,NA,38,0.53,31,7,2213660,63247,5950,0.397,0.92,8258
"35","Botswana","BW","xoo","nmn","nmn","!Xv=vµ","Tu",NA,"Tu",NA,NA,NA,NA,"!Ui-Taa",3750,1143,-24,21.5,NA,"S Africa","Africa","Africa","6 - Ejectives and glottalized resonants","5 - High","3 - Complex tone system",90000.46133,4200,0,0,NA,NA,38,0.53,31,7,2213660,63247,5950,0.397,0.92,8258
"36","Brazil","BR","ful","fun","fun","Fulniv•","Yatvô",NA,"Yatvô",NA,NA,NA,"Yat<e9>","Macro-Ge",2211.3,674.00424,-8,-37.5,NA,"NE South America","South America","S America","1 - No glottalized consonants","3 - Average","2 - Simple tone system",1407.25511,2930,0,0,NA,NA,228,3.21,217,11,204653402,934490,210,0.101,0.96,8921
"37","Brazil","BR","tic","tca","tca","Ticuna","Ticuna",NA,"Ticuna",NA,NA,NA,NA,"Tikuna-Yur<ed>",357.6,108.99648,-4,-70.5,"PE","NE South America","South America","S America","1 - No glottalized consonants","3 - Average","3 - Complex tone system",30570.1754,48600,0,0,1.230236411,8.196481705,228,3.21,217,11,204653402,934490,210,0.101,0.96,8921
"38","Brazil","BR","pau","pad","pad","Paumarv<U+2260>","Arauan",NA,"Arauan",NA,NA,NA,NA,"Arawan",249.3,75.98664,-6,-64,NA,"NE South America","South America","S America","3 - Implosives only","5 - High","1 - No tones",7116.035074,870,0,0,1.198719382,9.578763008,228,3.21,217,11,204653402,934490,210,0.101,0.96,8921
"39","Brazil","BR","war","pav","pav","Wari'","Chapacura-Wanham",NA,"Chapacura-Wanham",NA,NA,NA,NA,"Chapakuran",521.7,159.01416,-11.33333333,-65,NA,"NE South America","South America","S America","4 - Glottalized resonants only","2 - Moderately low","1 - No tones",3723.421352,1930,0,0,NA,NA,228,3.21,217,11,204653402,934490,210,0.101,0.96,8921
"40","Brazil","BR","api","apn","apn","Apinayv©","Ge-Kaingang",NA,"Macro-Ge",NA,"Northern Ge","Amazonian Ge","Ge","Macro-Ge",524.9,159.98952,-5.5,-48,NA,"NE South America","South America","S America","1 - No glottalized consonants","1 - Low","1 - No tones",3609.218396,1260,0,0,1.274651408,7.533236027,228,3.21,217,11,204653402,934490,210,0.101,0.96,8921
"41","Brazil","BR","wps","wap","wap","Wapishana","Wapishanan",NA,"Arawakan",NA,NA,NA,NA,"Arawakan",433.1,132.00888,2.666666667,-60,"GY","NE South America","South America","S America","3 - Implosives only","3 - Average","1 - No tones",29248.67573,12500,0,0,1.438683152,9.607941628,228,3.21,217,11,204653402,934490,210,0.101,0.96,8921
"42","Brazil","BR","tru","tpy","tpy","Trumai","Trumai",NA,"Trumai",NA,NA,NA,NA,"Truma<ed>",958,291.9984,-11.91666667,-53.58333333,NA,"NE South America","South America","S America","2 - Ejectives only","3 - Average","1 - No tones",2011.364463,100,0,0,NA,NA,228,3.21,217,11,204653402,934490,210,0.101,0.96,8921
"43","Brazil","BR","snm","xsu","xsu","Sanuma","Yanomam",NA,"Yanomam",NA,NA,NA,NA,"Yanomaman",2322.8,707.98944,4.5,-64.66666667,"VR","NE South America","South America","S America","1 - No glottalized consonants","1 - Low","1 - No tones",16612.56524,6410,0,0,1.189941049,7.3873353,228,3.21,217,11,204653402,934490,210,0.101,0.96,8921
"44","Brazil","BR","prh","myp","myp","Pirahv£","Mura",NA,"Mura",NA,NA,NA,NA,"Muran",196.9,60.01512,-7,-62,NA,"NE South America","South America","S America","1 - No glottalized consonants","2 - Moderately low","2 - Simple tone system",2319.272881,360,0,0,NA,NA,228,3.21,217,11,204653402,934490,210,0.101,0.96,8921
"45","Brazil","BR","bki","bkq","bkq","Bakairv<U+2260>","Cariban",NA,"Cariban",NA,NA,NA,NA,"Cariban",1443.6,440.00928,-14,-55,NA,"NE South America","South America","S America","1 - No glottalized consonants","2 - Moderately low","1 - No tones",2126.01884,950,0,0,1.451139569,9.74552536,228,3.21,217,11,204653402,934490,210,0.101,0.96,8921
"46","Brazil","BR","kng","kgp","kgp","Kaingang","Ge-Kaingang",NA,"Macro-Ge",NA,NA,"Southern Ge","Ge","Macro-Ge",2509.8,764.98704,-26,-52,NA,"SE South America","South America","S America","1 - No glottalized consonants","1 - Low","1 - No tones",92814.48058,25875,0,0,1.332688451,6.87128067,228,3.21,217,11,204653402,934490,210,0.101,0.96,8921
"47","Brazil","BR","irx","irn","irn","Iranxe","Iranxe",NA,"Iranxe",NA,NA,NA,NA,"Iranshe",1371.4,418.00272,-13,-58,NA,"NE South America","South America","S America","1 - No glottalized consonants","3 - Average","1 - No tones",7947.017261,190,0,0,NA,NA,228,3.21,217,11,204653402,934490,210,0.101,0.96,8921
"48","Brazil","BR","brr","bor","bor","Bororo","Bororoan",NA,"Bororoan",NA,NA,NA,"Bororo","Macro-Ge",561,170.9928,-16,-57,NA,"NE South America","South America","S America","1 - No glottalized consonants","1 - Low","1 - No tones",16618.02995,1020,0,0,NA,NA,228,3.21,217,11,204653402,934490,210,0.101,0.96,8921
"49","Brazil","BR","urk","urb","urb","Urubv<U+222B>-Kaapor","Tupi-Guaranv<U+2260>",NA,"Tupian",NA,NA,NA,"Tupi-Guaran<ed>","Tupian",196.9,60.01512,-2.333333333,-46.5,NA,"NE South America","South America","S America","1 - No glottalized consonants","2 - Moderately low","1 - No tones",10087.96576,800,0,0,NA,7.302125931,228,3.21,217,11,204653402,934490,210,0.101,0.96,8921
