"","X1","Latitude","Longitude","mean_hum","mean_temp","longitude"
"65",65,-0.952368,206.25,0.0178065468309859,299.398784037559,-153.75
"66",66,-0.952368,208.125,0.0177707473004695,299.443955399061,-151.875
"67",67,-0.952368,210,0.017634954342723,299.259965962441,-150
"68",68,-0.952368,211.875,0.0175718933098592,299.172765258216,-148.125
"69",69,-0.952368,213.75,0.0175106289906103,299.197604460094,-146.25
"70",70,-0.952368,215.625,0.0173453003521127,299.029550469484,-144.375
"71",71,-0.952368,217.5,0.0173040735915493,298.925330985915,-142.5
"72",72,-0.952368,219.375,0.0173303595070423,298.996044600939,-140.625
"73",73,-0.952368,22.5,0.0180008435446009,296.415199530516,22.5
"74",74,-0.952368,221.25,0.0171263444835681,298.781685446009,-138.75
"75",75,-0.952368,223.125,0.0169472951877934,298.48508685446,-136.875
"76",76,-0.952368,225,0.0170237876760563,298.594974178404,-135
"77",77,-0.952368,226.875,0.0169562688967136,298.587327464789,-133.125
"78",78,-0.952368,228.75,0.0166835754694836,298.156884976526,-131.25
"79",79,-0.952368,230.625,0.0166190106807512,297.986041079812,-129.375
"80",80,-0.952368,232.5,0.0167011421361502,298.14619600939,-127.5
"81",81,-0.952368,234.375,0.0166185787558685,298.062180751174,-125.625
"82",82,-0.952368,236.25,0.016493489084507,297.859920187793,-123.75
"83",83,-0.952368,238.125,0.0165045947183099,297.883854460094,-121.875
"84",84,-0.952368,24.375,0.0180013970657277,296.290638497653,24.375
"85",85,-0.952368,240,0.0165465642018779,297.904178403756,-120
"86",86,-0.952368,241.875,0.0164626186619718,297.70728286385,-118.125
"87",87,-0.952368,243.75,0.0162859177230047,297.460589201878,-116.25
"88",88,-0.952368,245.625,0.016209795657277,297.336862676056,-114.375
"89",89,-0.952368,247.5,0.0162575257042254,297.308377934272,-112.5
"90",90,-0.952368,249.375,0.0162620167840376,297.267280516432,-110.625
"91",91,-0.952368,251.25,0.0162674073943662,297.266781690141,-108.75
"92",92,-0.952368,253.125,0.0162909134976526,297.248744131455,-106.875
"93",93,-0.952368,255,0.0161117440140845,296.944893192488,-105
"94",94,-0.952368,256.875,0.0159082604460094,296.6065,-103.125
"95",95,-0.952368,258.75,0.0159504965962441,296.614735915493,-101.25
"96",96,-0.952368,26.25,0.0172314149061033,294.860998826291,26.25
"97",97,-0.952368,260.625,0.0159304280516432,296.5934342723,-99.375
"98",98,-0.952368,262.5,0.0158620886150235,296.483214788732,-97.5
"99",99,-0.952368,264.375,0.016048736971831,296.613561032864,-95.625
"100",100,-0.952368,266.25,0.016007909741784,296.499877934272,-93.75
"101",101,-0.952368,268.125,0.0157881224178404,296.20351056338,-91.875
"102",102,-0.952368,270,0.0161189125586854,296.670970657277,-90
"103",103,-0.952368,271.875,0.0162472651408451,296.914409624413,-88.125
"104",104,-0.952368,273.75,0.0156161050469484,296.181505868545,-86.25
"105",105,-0.952368,275.625,0.0160094120892019,296.524448356808,-84.375
"106",106,-0.952368,277.5,0.0170846365023474,297.23646713615,-82.5
"107",107,-0.952368,279.375,0.0156522139671362,294.490772300469,-80.625
"108",108,-0.952368,28.125,0.0154391862676056,292.272169014085,28.125
"109",109,-0.952368,281.25,0.0136340937793427,291.185555164319,-78.75
"110",110,-0.952368,283.125,0.015066592370892,292.912570422535,-76.875
"111",111,-0.952368,285,0.0179100045774648,296.717879107981,-75
"112",112,-0.952368,286.875,0.0183575688967136,297.310496478873,-73.125
"113",113,-0.952368,288.75,0.0180631843896714,296.528823943662,-71.25
"114",114,-0.952368,290.625,0.0185186759389671,296.991507042254,-69.375
"115",115,-0.952368,292.5,0.0185538519953052,297.164044600939,-67.5
"116",116,-0.952368,294.375,0.0184105083333333,296.982686619718,-65.625
"117",117,-0.952368,296.25,0.019028395657277,297.812004694836,-63.75
"118",118,-0.952368,298.125,0.019092875,297.920518779343,-61.875
"119",119,-0.952368,3.75,0.0177576355633803,298.795795774648,3.75
"120",120,-0.952368,30,0.0141384679577465,291.767589201878,30
"121",121,-0.952368,300,0.0183317430751174,296.826009389671,-60
"122",122,-0.952368,301.875,0.0182261778169014,296.840338028169,-58.125
"123",123,-0.952368,303.75,0.018273475,297.649863849765,-56.25
"124",124,-0.952368,305.625,0.0177140698356808,297.66009741784,-54.375
"125",125,-0.952368,307.5,0.0178643158450704,297.601427230047,-52.5
"126",126,-0.952368,309.375,0.0183376674882629,298.213811032864,-50.625
"127",127,-0.952368,31.875,0.0145520177230047,292.919430751174,31.875
"128",128,-0.952368,311.25,0.0183722961267606,298.545907276995,-48.75
"129",129,-0.952368,313.125,0.018252340258216,298.808436619718,-46.875
"130",130,-0.952368,315,0.0186332181924883,299.9753157277,-45
"131",131,-0.952368,316.875,0.0184912341549296,299.996276995305,-43.125
"132",132,-0.952368,318.75,0.0183282754694836,299.600596244131,-41.25
