wals_code,Name,latitude,longitude,countrycodes,elev-ft,elev-m
ga,G?œ,5.666666667,-0.166666667,GH,275.6,84.00288
gan,Great Andamanese,12,92.66666667,IN,128,39.0144
gar,Garo,25.66666667,90.5,IN,1273,388.0104
gbb,Gbeya Bossangoa,6.666666667,17.5,CF,1574.8,479.99904
gds,Gadsup,-6.25,146,PG,4258.5,1297.9908
geo,Georgian,42,44,GE,1981.6,603.99168
ger,German,52,10,AT DE CH,646.3,196.99224
ghb,Guahibo,5,-69,CO,462.6,141.00048
gla,Gelao,22.91666667,105.5,VN,2664,811.9872
gmb,Guambiano,2.5,-76.66666667,CO,5636.5,1718.0052
goa,Goajiro,12,-72,VR CO,134.5,40.9956
goo,Gooniyandi,-18.33333333,126.3333333,AU,813.6,247.98528
grb,Grebo,5,-8,LR,465.9,142.00632
grk,Greek (Modern),39,22,GR,2096.5,639.0132
grr,Garrwa,-17.08333333,137.1666667,AU,702.1,214.00008
grw,Greenlandic (West),64,-51,GL,2191.6,667.99968
gua,Guaran??,-26,-56,PY,738.2,225.00336
gwa,Gwari,9.5,7,NG,1679.8,512.00304
had,Hadza,-3.75,35.16666667,TZ,4248.7,1295.00376
hai,Haida,53,-132,US CA,623.9,190.16472
hak,Hakka,25,116,CN,1128.6,343.99728
ham,Hamtai,-7.5,146.25,PG,3189,972.0072
hau,Hausa,12,7,NG NE,1791.3,545.98824
haw,Hawaiian,19.58333333,-155.5,US,8750.8,2667.24384
hba,Hebrew (Modern Ashkenazic),31.75,35.16666667,IL,2493.4,759.98832
hin,Hindi,25,77,IN,1364.8,415.99104
hix,Hixkaryana,-1,-59,BR,659.4,200.98512
hmo,Hmong Njua,28,105,CN,2250.7,686.01336
hmr,Hamer,5,36.5,ET,3156.2,962.00976
hop,Hopi,36,-110,US,6554.1,1997.68968
htc,Huastec,22.08333333,-99.33333333,MX,1897.7,578.41896
hum,Huitoto (Murui),-1,-73.5,CO PE BR,675.9,206.01432
hun,Hungarian,47,20,HU,285.4,86.98992
hup,Hupa,41.08333333,-123.6666667,US,1363.4,415.56432
hve,Huave (San Mateo del Mar),16.21666667,-95,MX,25.9,7.89432
hzb,Hunzib,42.16666667,46.25,RU,8300.5,2529.9924
iaa,Iaai,-20.41666667,166.5833333,NC,32.8,9.99744
iba,Iban,2,112,MY,108.3,33.00984
igb,Igbo,6,7.333333333,NG,652.9,199.00392
ign,Ignaciano,-15.16666667,-65.41666667,BO,524.9,159.98952
igs,Ingessana,11.5,34,SD,2929.8,893.00304
ijo,Ijo (Kolokuma),4.916666667,5.666666667,NG,16.4,4.99872
ik,Ik,3.75,34.16666667,UG,4537.4,1382.99952
ika,Ika,10.66666667,-73.75,CO,10213.3,3113.01384
imo,Imonda,-3.333333333,141.1666667,PG,1043.3,317.99784
ind,Indonesian,0,106,ID,0,0
ing,Ingush,43.16666667,45.08333333,RU,2168.6,660.98928
ird,Irish (Donegal),55,-8,IE,689,210.0072
irq,Iraqw,-4,35.5,TZ,7244.1,2208.00168
irr,Irarutu,-3,133.5,ID,236.2,71.99376
irx,Iranxe,-13,-58,BR,1371.4,418.00272
iso,Isoko,5.5,6.25,NG,75.5,23.0124
ite,Itelmen,57,157.5,RU,459.3,139.99464
ito,Itonama,-12.83333333,-64.33333333,BO,452.8,138.01344
ivs,Ivatan (Southern),20.33333333,121.8333333,PH,0,0
iwm,Iwam,-4.333333333,142,PG,85.3,25.99944
jak,Jakaltek,15.66666667,-91.66666667,GT,,0
jaq,Jaqaru,-13,-76,PE,10045.9,3061.99032
jav,Javanese,-7,111,ID,387.1,117.98808
jeb,Jebero,-5.416666667,-76.5,PE,876,267.0048
jeh,Jeh,15.16666667,107.8333333,VN LA,4327.4,1318.99152
jiv,Jivaro,-2.5,-78,EC,5534.8,1687.00704
jng,Jingpho,25.41666667,97,MM,515.1,157.00248
jom,Jomang,10.58333333,30.5,SD,1614.2,492.00816
jpn,Japanese,37,140,JP,1282.8,390.99744
jpr,Japreria,10.5,-73,VR,2726.4,831.00672
juh,Ju|'hoan,-19,21,NA AO BW,3497.4,1066.00752
kab,Kabardian,43.5,43.5,RU,2257.2,687.99456
kad,Kadugli,11,29.66666667,SD,1804.5,550.0116
kal,Kalami,35.5,72.5,PK,7178.5,2188.0068
kas,Kashmiri,34,76,PK IN,17690.3,5392.00344
kay,Kayardild,-17.05,139.5,AU,0,0
kch,Koyra Chiini,17,-3,ML,882.5,268.986
ked,Kedang,-8.25,123.75,ID,1230.3,374.99544
kef,Kefa,7.25,36.25,ET,5561,1694.9928
kek,K'ekch??,16,-89.83333333,GT,462.6,141.00048
ker,Kera,9.833333333,15.08333333,TD,1079.4,329.00112
ket,Ket,64,87,RU,134.5,40.9956
kew,Kewa,-6.5,143.8333333,PG,5538.1,1688.01288
kfe,Koromfe,14.25,-0.916666667,ML BF,1010.5,308.0004
kgi,Konyagi,12.5,-13.25,GN ML,134.5,40.9956
kgu,Kalkatungu,-21,139.5,AU,1417.3,431.99304
kgz,Kirghiz,42,75,KG,7460.6,2273.99088
kha,Khalkha,47,105,MN,4819.6,1469.01408
khm,Khmer,12.5,105,KH,36.1,11.00328
kho,Khoekhoe,-25.5,18,NA,3284.1,1000.99368
khr,Kharia,22.5,84.33333333,IN,1250,381
khs,Khasi,25.5,92,IN,5196.9,1584.01512
kio,Kiowa,37,-99,US,1830.7,557.99736
kiw, Kiwai (Southern),-8,143.5,PG,62.3,18.98904
kkn,Konkani,15.25,74,IN,68.9,21.00072
kkv,Lusi,-5.583333333,149.6666667,PG,249.3,75.98664
kla,Klao,4.75,-8.75,LR,0,0
klm,Klamath,42.5,-121.5,US,4461.5,1359.8652
klv,Kilivila,-8.5,151.0833333,PG,26.2,7.98576
kly,Kala Lagaw Ya,-10.11666667,142.1166667,AU,111.5,33.9852
kmp,Kunimaipa,-8,146.8333333,PG,10262.5,3128.01
kmu,Khmu',21,102,LA,3218.5,980.9988
knd,Kannada,14,76,IN,2283.5,696.0108
