wals code,name,value,description,latitude,longitude,genus,family,area
dgb,Dagbani,1,No glottalized consonants,9.583333333,-0.5,Northern-Central Gur,Niger-Congo,Phonology
dgr,Dagur,1,No glottalized consonants,48,124,Mongolic,Altaic,Phonology
dah,Dahalo,5,Ejectives and implosives,-2.333333333,40.5,Dahalo,Afro-Asiatic,Phonology
ddf,Daju (Dar Fur),3,Implosives only,12.25,25.25,Daju,Eastern Sudanic,Phonology
dan,Dan,3,Implosives only,7.5,-8,Eastern Mande,Mande,Phonology
dnw,Dangaléat (Western),3,Implosives only,12.16666667,18.33333333,East Chadic,Afro-Asiatic,Phonology
dni,Dani (Lower Grand Valley),1,No glottalized consonants,-4.333333333,138.8333333,Dani,Trans-New Guinea,Phonology
dar,Darai,1,No glottalized consonants,24,84,Indic,Indo-European,Phonology
det,Deti,5,Ejectives and implosives,-20.5,24.5,Khoe-Kwadi,Khoe-Kwadi,Phonology
die,Diegueño (Mesa Grande),1,No glottalized consonants,32.66666667,-116.1666667,Yuman,Hokan,Phonology
din,Dinka,1,No glottalized consonants,8.5,28,Nilotic,Eastern Sudanic,Phonology
dio,Diola-Fogny,1,No glottalized consonants,13,-16.25,Bak,Niger-Congo,Phonology
diy,Diyari,1,No glottalized consonants,-28,139,Central Pama-Nyungan,Pama-Nyungan,Phonology
diz,Dizi,2,Ejectives only,6.166666667,36.5,Dizoid,Afro-Asiatic,Phonology
djp,Djapu,1,No glottalized consonants,-12.66666667,136,Western Pama-Nyungan,Pama-Nyungan,Phonology
der,Dla (Proper),1,No glottalized consonants,-3.583333333,141,Senagi,Senagi,Phonology
don,Dong (Southern),1,No glottalized consonants,27,109,Kam-Tai,Tai-Kadai,Phonology
doy,Doyayo,3,Implosives only,8.666666667,13.08333333,Samba-Duru,Niger-Congo,Phonology
dre,Drehu,1,No glottalized consonants,-21,167.25,Oceanic,Austronesian,Phonology
dum,Dumo,1,No glottalized consonants,-2.683333333,141.3,Western Skou,Skou,Phonology
dyi,Dyirbal,1,No glottalized consonants,-17.83333333,145.5833333,Northern Pama-Nyungan,Pama-Nyungan,Phonology
efi,Efik,1,No glottalized consonants,4.916666667,8.5,Cross River,Niger-Congo,Phonology
eja,Ejagham,1,No glottalized consonants,5.416666667,8.666666667,Bantoid,Niger-Congo,Phonology
eka,Ekari,1,No glottalized consonants,-3.833333333,135.5,Wissel Lakes-Kemandoga,Trans-New Guinea,Phonology
eng,English,1,No glottalized consonants,52,0,Germanic,Indo-European,Phonology
epe,Epena Pedee,1,No glottalized consonants,3,-77,Choco,Choco,Phonology
evn,Even,1,No glottalized consonants,68,130,Tungusic,Altaic,Phonology
eve,Evenki,1,No glottalized consonants,56,125,Tungusic,Altaic,Phonology
ewe,Ewe,1,No glottalized consonants,6.333333333,0.416666667,Kwa,Niger-Congo,Phonology
ewo,Ewondo,1,No glottalized consonants,4,12,Bantoid,Niger-Congo,Phonology
eya,Eyak,2,Ejectives only,60.5,-145,Eyak,Na-Dene,Phonology
fas,Fasu,1,No glottalized consonants,-6.583333333,143.3333333,Fasu,Trans-New Guinea,Phonology
fef,Fe'fe',1,No glottalized consonants,5.25,10.16666667,Bantoid,Niger-Congo,Phonology
fij,Fijian,1,No glottalized consonants,-17.83333333,178,Oceanic,Austronesian,Phonology
fin,Finnish,1,No glottalized consonants,62,25,Finnic,Uralic,Phonology
fre,French,1,No glottalized consonants,48,2,Romance,Indo-European,Phonology
ful,Fulniô,1,No glottalized consonants,-8,-37.5,Yatê,Yatê,Phonology
fur,Fur,1,No glottalized consonants,13.5,25,Fur,Fur,Phonology
fuz,Fuzhou,1,No glottalized consonants,26,119.5,Chinese,Sino-Tibetan,Phonology
fye,Fyem,3,Implosives only,9.583333333,9.333333333,Platoid,Niger-Congo,Phonology
gds,Gadsup,1,No glottalized consonants,-6.25,146,Eastern Highlands,Trans-New Guinea,Phonology
gar,Garo,1,No glottalized consonants,25.66666667,90.5,Bodo-Garo,Sino-Tibetan,Phonology
grr,Garrwa,1,No glottalized consonants,-17.08333333,137.1666667,Garrwan,Garrwan,Phonology
gbb,Gbeya Bossangoa,3,Implosives only,6.666666667,17.5,Gbaya-Manza-Ngbaka,Niger-Congo,Phonology
gla,Gelao,1,No glottalized consonants,22.91666667,105.5,Kadai,Tai-Kadai,Phonology
geo,Georgian,2,Ejectives only,42,44,Kartvelian,Kartvelian,Phonology
ger,German,1,No glottalized consonants,52,10,Germanic,Indo-European,Phonology
goa,Goajiro,1,No glottalized consonants,12,-72,Caribbean Arawakan,Arawakan,Phonology
goo,Gooniyandi,1,No glottalized consonants,-18.33333333,126.3333333,Bunuban,Bunuban,Phonology
gan,Great Andamanese,1,No glottalized consonants,12,92.66666667,Great Andamanese,Great Andamanese,Phonology
grb,Grebo,1,No glottalized consonants,5,-8,Kru,Niger-Congo,Phonology
grk,Greek (Modern),1,No glottalized consonants,39,22,Greek,Indo-European,Phonology
grw,Greenlandic (West),1,No glottalized consonants,64,-51,Eskimo,Eskimo-Aleut,Phonology
ghb,Guahibo,1,No glottalized consonants,5,-69,Guahiban,Guahiban,Phonology
gmb,Guambiano,1,No glottalized consonants,2.5,-76.66666667,Barbacoan,Barbacoan,Phonology
gua,Guaraní,1,No glottalized consonants,-26,-56,Tupi-Guaraní,Tupian,Phonology
gwa,Gwari,3,Implosives only,9.5,7,Nupoid,Niger-Congo,Phonology
ga,Gã,1,No glottalized consonants,5.666666667,-0.166666667,Kwa,Niger-Congo,Phonology
had,Hadza,2,Ejectives only,-3.75,35.16666667,Hadza,Hadza,Phonology
hai,Haida,6,Ejectives and glottalized resonants,53,-132,Haida,Haida,Phonology
hak,Hakka,1,No glottalized consonants,25,116,Chinese,Sino-Tibetan,Phonology
hmr,Hamer,5,Ejectives and implosives,5,36.5,South Omotic,Afro-Asiatic,Phonology
ham,Hamtai,1,No glottalized consonants,-7.5,146.25,Angan,Trans-New Guinea,Phonology
hau,Hausa,5,Ejectives and implosives,12,7,West Chadic,Afro-Asiatic,Phonology
