wals_code,Name,latitude,longitude,family,macroarea,countrycodes,values,description
dgb,Dagbani,9.583333333,-0.5,Niger-Congo,Africa,GH,2,Simple tone system
dgr,Dagur,48,124,Altaic,Eurasia,CN,1,No tones
die,Diegueño (Mesa Grande),32.66666667,-116.1666667,Hokan,North America,MX US,1,No tones
din,Dinka,8.5,28,Eastern Sudanic,Africa,SS,3,Complex tone system
dio,Diola-Fogny,13,-16.25,Niger-Congo,Africa,GM SN,1,No tones
diy,Diyari,-28,139,Pama-Nyungan,Australia,AU,1,No tones
diz,Dizi,6.166666667,36.5,Afro-Asiatic,Africa,ET,3,Complex tone system
djp,Djapu,-12.66666667,136,Pama-Nyungan,Australia,AU,1,No tones
dni,Dani (Lower Grand Valley),-4.333333333,138.8333333,Trans-New Guinea,Papunesia,ID,1,No tones
dnw,Dangaléat (Western),12.16666667,18.33333333,Afro-Asiatic,Africa,TD,2,Simple tone system
doy,Doyayo,8.666666667,13.08333333,Niger-Congo,Africa,CM,3,Complex tone system
dre,Drehu,-21,167.25,Austronesian,Papunesia,NC,1,No tones
dts,Toro So,14.41666667,-3.25,Dogon,Africa,ML BF,2,Simple tone system
dum,Dumo,-2.683333333,141.3,Skou,Papunesia,PG,3,Complex tone system
dyi,Dyirbal,-17.83333333,145.5833333,Pama-Nyungan,Australia,AU,1,No tones
efi,Efik,4.916666667,8.5,Niger-Congo,Africa,NG,2,Simple tone system
eja,Ejagham,5.416666667,8.666666667,Niger-Congo,Africa,NG CM,3,Complex tone system
eka,Ekari,-3.833333333,135.5,Trans-New Guinea,Papunesia,ID,2,Simple tone system
eng,English,52,0,Indo-European,Eurasia,GB IE,1,No tones
epe,Epena Pedee,3,-77,Choco,South America,CO,1,No tones
eve,Evenki,56,125,Altaic,Eurasia,RU,1,No tones
evn,Even,68,130,Altaic,Eurasia,RU,1,No tones
ewe,Ewe,6.333333333,0.416666667,Niger-Congo,Africa,TG GH,2,Simple tone system
ewo,Ewondo,4,12,Niger-Congo,Africa,CM,3,Complex tone system
eya,Eyak,60.5,-145,Na-Dene,North America,US,1,No tones
fas,Fasu,-6.583333333,143.3333333,Trans-New Guinea,Papunesia,PG,2,Simple tone system
fef,Fe'fe',5.25,10.16666667,Niger-Congo,Africa,CM,3,Complex tone system
fij,Fijian,-17.83333333,178,Austronesian,Papunesia,FJ,1,No tones
fin,Finnish,62,25,Uralic,Eurasia,FI,1,No tones
fre,French,48,2,Indo-European,Eurasia,FR CH,1,No tones
ful,Fulniô,-8,-37.5,Yatê,South America,BR,2,Simple tone system
fur,Fur,13.5,25,Fur,Africa,SD,2,Simple tone system
fuz,Fuzhou,26,119.5,Sino-Tibetan,Eurasia,MY TH CN,3,Complex tone system
fye,Fyem,9.583333333,9.333333333,Niger-Congo,Africa,NG,2,Simple tone system
ga,Gã,5.666666667,-0.166666667,Niger-Congo,Africa,GH,3,Complex tone system
gan,Great Andamanese,12,92.66666667,Great Andamanese,Eurasia,IN,1,No tones
gar,Garo,25.66666667,90.5,Sino-Tibetan,Eurasia,IN,1,No tones
gbb,Gbeya Bossangoa,6.666666667,17.5,Niger-Congo,Africa,CF,2,Simple tone system
gds,Gadsup,-6.25,146,Trans-New Guinea,Papunesia,PG,3,Complex tone system
geo,Georgian,42,44,Kartvelian,Eurasia,GE,1,No tones
ger,German,52,10,Indo-European,Eurasia,AT DE CH,1,No tones
gla,Gelao,22.91666667,105.5,Tai-Kadai,Eurasia,VN,3,Complex tone system
goo,Gooniyandi,-18.33333333,126.3333333,Bunuban,Australia,AU,1,No tones
grb,Grebo,5,-8,Niger-Congo,Africa,LR,3,Complex tone system
grk,Greek (Modern),39,22,Indo-European,Eurasia,GR,1,No tones
grr,Garrwa,-17.08333333,137.1666667,Garrwan,Australia,AU,1,No tones
grw,Greenlandic (West),64,-51,Eskimo-Aleut,Eurasia,GL,1,No tones
gua,Guaraní,-26,-56,Tupian,South America,PY,1,No tones
gwa,Gwari,9.5,7,Niger-Congo,Africa,NG,3,Complex tone system
had,Hadza,-3.75,35.16666667,Hadza,Africa,TZ,2,Simple tone system
hai,Haida,53,-132,Haida,North America,US CA,1,No tones
hak,Hakka,25,116,Sino-Tibetan,Eurasia,CN,3,Complex tone system
ham,Hamtai,-7.5,146.25,Trans-New Guinea,Papunesia,PG,2,Simple tone system
hau,Hausa,12,7,Afro-Asiatic,Africa,NG NE,2,Simple tone system
haw,Hawaiian,19.58333333,-155.5,Austronesian,Papunesia,US,1,No tones
hba,Hebrew (Modern Ashkenazic),31.75,35.16666667,Afro-Asiatic,Eurasia,IL,1,No tones
hin,Hindi,25,77,Indo-European,Eurasia,IN,1,No tones
hix,Hixkaryana,-1,-59,Cariban,South America,BR,1,No tones
hmo,Hmong Njua,28,105,Hmong-Mien,Eurasia,CN,3,Complex tone system
hmr,Hamer,5,36.5,Afro-Asiatic,Africa,ET,2,Simple tone system
hop,Hopi,36,-110,Uto-Aztecan,North America,US,2,Simple tone system
htc,Huastec,22.08333333,-99.33333333,Mayan,North America,MX,1,No tones
hum,Huitoto (Murui),-1,-73.5,Huitotoan,South America,CO PE BR,1,No tones
hun,Hungarian,47,20,Uralic,Eurasia,HU,1,No tones
hup,Hupa,41.08333333,-123.6666667,Na-Dene,North America,US,1,No tones
hve,Huave (San Mateo del Mar),16.21666667,-95,Huavean,North America,MX,2,Simple tone system
hzb,Hunzib,42.16666667,46.25,Nakh-Daghestanian,Eurasia,RU,1,No tones
iaa,Iaai,-20.41666667,166.5833333,Austronesian,Papunesia,NC,1,No tones
iba,Iban,2,112,Austronesian,Papunesia,MY,1,No tones
igb,Igbo,6,7.333333333,Niger-Congo,Africa,NG,2,Simple tone system
igs,Ingessana,11.5,34,Eastern Sudanic,Africa,SD,2,Simple tone system
ijo,Ijo (Kolokuma),4.916666667,5.666666667,Ijoid,Africa,NG,2,Simple tone system
ik,Ik,3.75,34.16666667,Eastern Sudanic,Africa,UG,2,Simple tone system
ika,Ika,10.66666667,-73.75,Chibchan,South America,CO,1,No tones
imo,Imonda,-3.333333333,141.1666667,Border,Papunesia,PG,1,No tones
ind,Indonesian,0,106,Austronesian,Papunesia,ID,1,No tones
ing,Ingush,43.16666667,45.08333333,Nakh-Daghestanian,Eurasia,RU,1,No tones
ird,Irish (Donegal),55,-8,Indo-European,Eurasia,IE,1,No tones
irq,Iraqw,-4,35.5,Afro-Asiatic,Africa,TZ,2,Simple tone system
irr,Irarutu,-3,133.5,Austronesian,Papunesia,ID,1,No tones
irx,Iranxe,-13,-58,Iranxe,South America,BR,1,No tones
iso,Isoko,5.5,6.25,Niger-Congo,Africa,NG,2,Simple tone system
ivs,Ivatan (Southern),20.33333333,121.8333333,Austronesian,Papunesia,PH,1,No tones
jak,Jakaltek,15.66666667,-91.66666667,Mayan,North America,GT,1,No tones
jaq,Jaqaru,-13,-76,Aymaran,South America,PE,1,No tones
jav,Javanese,-7,111,Austronesian,Papunesia,ID,1,No tones
jeb,Jebero,-5.416666667,-76.5,Cahuapanan,South America,PE,1,No tones
jeh,Jeh,15.16666667,107.8333333,Austro-Asiatic,Eurasia,VN LA,1,No tones
jng,Jingpho,25.41666667,97,Sino-Tibetan,Eurasia,MM,3,Complex tone system
jom,Jomang,10.58333333,30.5,Kordofanian,Africa,SD,2,Simple tone system
jpn,Japanese,37,140,Japanese,Eurasia,JP,2,Simple tone system
jpr,Japreria,10.5,-73,Cariban,South America,VR,1,No tones
juh,Ju|'hoan,-19,21,Kxa,Africa,NA AO BW,3,Complex tone system
kab,Kabardian,43.5,43.5,Northwest Caucasian,Eurasia,RU,1,No tones
kad,Kadugli,11,29.66666667,Kadu,Africa,SD,3,Complex tone system
kal,Kalami,35.5,72.5,Indo-European,Eurasia,PK,2,Simple tone system
kas,Kashmiri,34,76,Indo-European,Eurasia,PK IN,1,No tones
kay,Kayardild,-17.05,139.5,Tangkic,Australia,AU,1,No tones
kch,Koyra Chiini,17,-3,Songhay,Africa,ML,1,No tones
ked,Kedang,-8.25,123.75,Austronesian,Papunesia,ID,1,No tones
kef,Kefa,7.25,36.25,Afro-Asiatic,Africa,ET,2,Simple tone system
ker,Kera,9.833333333,15.08333333,Afro-Asiatic,Africa,TD,3,Complex tone system
ket,Ket,64,87,Yeniseian,Eurasia,RU,1,No tones
kew,Kewa,-6.5,143.8333333,Trans-New Guinea,Papunesia,PG,2,Simple tone system
kfe,Koromfe,14.25,-0.916666667,Niger-Congo,Africa,ML BF,1,No tones
kgi,Konyagi,12.5,-13.25,Niger-Congo,Africa,GN ML,2,Simple tone system
kgu,Kalkatungu,-21,139.5,Pama-Nyungan,Australia,AU,1,No tones
kgz,Kirghiz,42,75,Altaic,Eurasia,KG,1,No tones
kha,Khalkha,47,105,Altaic,Eurasia,MN,1,No tones
khm,Khmer,12.5,105,Austro-Asiatic,Eurasia,KH,1,No tones
kho,Khoekhoe,-25.5,18,Khoe-Kwadi,Africa,NA,3,Complex tone system
khr,Kharia,22.5,84.33333333,Austro-Asiatic,Eurasia,IN,1,No tones
khs,Khasi,25.5,92,Austro-Asiatic,Eurasia,IN,1,No tones
kio,Kiowa,37,-99,Kiowa-Tanoan,North America,US,2,Simple tone system
kiw, Kiwai (Southern),-8,143.5,Kiwaian,Papunesia,PG,2,Simple tone system
kkn,Konkani,15.25,74,Indo-European,Eurasia,IN,1,No tones
