LID,ISO639.3,language,alt.language.name,language.search,lsbranch,ssbranch,sbranch,mbranch,stock,alt.stock.name,stock.search,longitude,latitude,area,continent
2848,swr,Saweru,NA,Saweru,Yapen,NA,NA,NA,West Papuan,NA,West Papuan,136,-1.9,N Coast New Guinea,NG and Oceania
2849,skv,Skou,NA,Skou,NA,NA,NA,NA,Macro-Skou,Sko,"Macro-Skou, Sko",141.2,-2.4,N Coast New Guinea,NG and Oceania
2851,bdq,Bahnar,"Bahnar, Bana","Bahnar, Bahnar, Bana",NA,NA,Bahnaric,Eastern Mon-Khmer,Austroasiatic,NA,Austroasiatic,108.8,13.99,Southeast Asia,S/SE Asia
2853,nds,Low German (Old),"Anglo-Saxon,English (Old)","Low German (Old), Anglo-Saxon,English (Old)",NA,NA,West Germanic,Germanic,Indo-European,NA,Indo-European,-1,52,Europe,W and SW Eurasia
2854,goh,High German (Old),"Anglo-Saxon,English (Old)","High German (Old), Anglo-Saxon,English (Old)",NA,NA,West Germanic,Germanic,Indo-European,NA,Indo-European,-1,52,Europe,W and SW Eurasia
2855,osx,Old Saxian,"Anglo-Saxon,English (Old)","Old Saxian, Anglo-Saxon,English (Old)",NA,NA,West Germanic,Germanic,Indo-European,NA,Indo-European,-1,52,Europe,W and SW Eurasia
2856,NA,Old Norse,"Anglo-Saxon,English (Old)","Old Norse, Anglo-Saxon,English (Old)",NA,NA,North Germanic,Germanic,Indo-European,NA,Indo-European,-1,52,Europe,W and SW Eurasia
2857,ofs,Frisian (Old),Frisian (Eastern),"Frisian (Old), Frisian (Eastern)",NA,Frisian,West Germanic,Germanic,Indo-European,NA,Indo-European,7.5,53.58,Europe,W and SW Eurasia
2858,orv,Russian (Old),Old Russian,"Russian (Old), Old Russian",NA,East Slavic,Slavic,Balto-Slavic,Indo-European,NA,Indo-European,38,56,Inner Asia,N-C Asia
2859,NA,Bulgarian (Old),Bulgarian,"Bulgarian (Old), Bulgarian",NA,South Slavic,Slavic,Balto-Slavic,Indo-European,NA,Indo-European,25,42.5,Europe,W and SW Eurasia
2860,ems,Yup’ik (Pacific Gulf),NA,Yup’ik (Pacific Gulf),NA,NA,NA,Eskimoan,Eskimo-Aleut,NA,Eskimo-Aleut,-145,61,Alaska-Oregon,W N America
2862,ctn,Chintang,NA,Chintang,Greater Yakkha,Eastern Kiranti,Central-Eastern Kiranti,Kiranti,Sino-Tibetan,NA,Sino-Tibetan,87.25,26.97,Indic,S/SE Asia
2863,pum,Puma,NA,Puma,Southern Kiranti,Central Kiranti,Central-Eastern Kiranti,Kiranti,Sino-Tibetan,NA,Sino-Tibetan,87,26.8,Indic,S/SE Asia
2864,neb,Toura,"Toura, Tura, Wen, W˜<U+025B>˜<U+025B>, W<U+025B><U+025B>n, Ween","Toura, Toura, Tura, Wen, W˜<U+025B>˜<U+025B>, W<U+025B><U+025B>n, Ween",NA,NA,NA,East Mande,Mande,NA,Mande,-7.3,7.5,African Savannah,Africa
2865,wme,Wambule,"Wambule, Ambule, Chaurasia, Chaurasya, Chourase, Chourasia, Ombule, Tsaurasya, Umbule","Wambule, Wambule, Ambule, Chaurasia, Chaurasya, Chourase, Chourasia, Ombule, Tsaurasya, Umbule",NA,Chaurasiya,Western Kiranti,Kiranti,Sino-Tibetan,NA,Sino-Tibetan,86.5,27.31,Indic,S/SE Asia
2866,pli,Pali,Pali,"Pali, Pali",NA,Pali,Indo-Aryan,Indo-Iranian,Indo-European,NA,Indo-European,83,25.2,Indic,S/SE Asia
2869,ygr,Yagaria,Yagaria,"Yagaria, Yagaria",NA,NA,NA,Gorokan,Eastern Highlands,NA,Eastern Highlands,145.38,-6.08,Interior New Guinea,NG and Oceania
2871,tji; tjs,Tujia,NA,Tujia,NA,NA,NA,Qiangic,Sino-Tibetan,NA,Sino-Tibetan,110.5,31.8,Southeast Asia,S/SE Asia
2872,dnw,Lani (Western Dani),NA,Lani (Western Dani),NA,NA,NA,NA,Dani,NA,Dani,142,-4.32,Interior New Guinea,NG and Oceania
2873,bap,Bantawa,NA,Bantawa,Southern Kiranti,Central Kiranti,Central-Eastern Kiranti,Kiranti,Sino-Tibetan,NA,Sino-Tibetan,87.0475,27.1775,Indic,S/SE Asia
2875,yau,Waruwaru,"Hoti, Joti, Jodi, Waruwaru, Yuwana, Yuana, Yoana","Waruwaru, Hoti, Joti, Jodi, Waruwaru, Yuwana, Yuana, Yoana",NA,NA,NA,NA,Hotí,"Joti, Yuwana","Hotí, Joti, Yuwana",-65.5,7,NE South America,S America
2876,ple,Palu'e,NA,Palu'e,NA,NA,Central Malayo-Polynesian non-clade,Malayo-Polynesian,Austronesian,NA,Austronesian,121.1,-8.3,Oceania,NG and Oceania
2878,adn,Adang,"Kui (Indonesia), Lerabain , Masin-Lak","Adang, Kui (Indonesia), Lerabain , Masin-Lak",NA,NA,Alor,Alor-Pantar,Timor-Alor-Pantar,West Timor-Alor-Pantar,"Timor-Alor-Pantar, West Timor-Alor-Pantar",124,-8.3,Oceania,NG and Oceania
2879,kxl,Dhangar,"Jhangar, Uraon, Dhangar, Jhanger, Janghard, Jangad, Orau, Oraon, Kurux (Nepali)","Dhangar, Jhangar, Uraon, Dhangar, Jhanger, Janghard, Jangad, Orau, Oraon, Kurux (Nepali)",NA,NA,NA,North Dravidian,Dravidian,NA,Dravidian,86.4,26.6,Indic,S/SE Asia
2880,sat,Satar,NA,Satar,NA,Kherwarian,Northern Munda,Munda,Austroasiatic,NA,Austroasiatic,87.8,26.5,Indic,S/SE Asia
2881,NA,Kisan,NA,Kisan,NA,NA,NA,North Dravidian,Dravidian,NA,Dravidian,88,26.5,Indic,S/SE Asia
2882,kab,Berber (Kabyle),"Berber (Kabyle), Taqbaylit","Berber (Kabyle), Berber (Kabyle), Taqbaylit",Berber,NA,NA,NA,Berber,NA,Berber,3,30,N Africa,Africa
