ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Family,Subfamily,Genus,ISO_codes,Samples_100,Samples_200
mbt,Mangbetu,,2.5,26.5,mang1394,mdj,Central Sudanic,,Mangbetu,mdj,FALSE,FALSE
mbu,Manambu,,-4.25,142.8333333,mana1298,mle,Sepik,,Ndu,mle,FALSE,FALSE
mby,Mbay,,8.25,17.5,mbay1241,myb,Central Sudanic,,Bongo-Bagirmi,myb,FALSE,FALSE
mbz,Mbe',,6.283333333,11.08333333,mbee1250,mtk,Niger-Congo,Benue-Congo,Bantoid,mtk,FALSE,FALSE
mca,Maca,,-25,-57.5,maca1260,mca,Matacoan,,Matacoan,mca,FALSE,FALSE
mcc,Mochica,,-7.5,-79.33333333,moch1259,,Chimúan,,Chimúan,,FALSE,FALSE
mcd,Macedonian,,41.66666667,21.75,mace1250,mkd,Indo-European,,Slavic,mkd,FALSE,FALSE
mce,Mískito Coast English Creole,,16.25,-88.83333333,beli1260,bzj,other,,Creoles and Pidgins,bzj,FALSE,FALSE
mcf,Michif,,52,-100.1666667,mich1243,crg,Algic,,Algonquian,crg,FALSE,FALSE
mcg,Macaguán,,6.5,-71.33333333,maca1259,mbn,Guahiban,,Guahiban,mbn,FALSE,FALSE
mch,Machiguenga,,-12,-72.66666667,mach1267,mcb,Arawakan,,Pre-Andine Arawakan,mcb,FALSE,FALSE
mcn,Macuna,,-0.333333333,-70.16666667,macu1260,myy,Tucanoan,,Tucanoan,myy,FALSE,FALSE
mco,Mixe (Coatlán),,16.91666667,-95.66666667,coat1238,mco,Mixe-Zoque,,Mixe-Zoque,mco,FALSE,FALSE
mcr,Mauritian Creole,,-20.33333333,57.5,mori1278,mfe,other,,Creoles and Pidgins,mfe,FALSE,FALSE
mcs,Miwok (Central Sierra),,38,-120.3333333,cent2140,csm,Penutian,Utian,Miwok,csm,FALSE,FALSE
mcv,Mocoví,,-28,-60.5,moco1246,moc,Guaicuruan,,South Guaicuruan,moc,FALSE,FALSE
mda,Mada (in Cameroon),,10.83333333,14.16666667,mada1293,mxu,Afro-Asiatic,Chadic,Biu-Mandara,mxu,FALSE,FALSE
mdb,Mudburra,,-17.33333333,132.0833333,mudb1240,dmw,Pama-Nyungan,,Western Pama-Nyungan,dmw,FALSE,FALSE
mde,Mende,,7.833333333,-11.5,mend1266,men,Mande,,Western Mande,men,FALSE,FALSE
mdg,Mundang,,9.666666667,14.5,mund1325,mua,Niger-Congo,Adamawa-Ubangi,Mbumic,mua,FALSE,FALSE
mdk,Mandinka,,13,-15.66666667,mand1436,mnk,Mande,,Western Mande,mnk,FALSE,FALSE
mdl,Matngele,,-13.83333333,130.4166667,madn1237,zml,Eastern Daly,Daly,Eastern Daly,zml,FALSE,FALSE
mdm,Madimadi,,-34.5,143.5,west2443,,Pama-Nyungan,,Southeastern Pama-Nyungan,,FALSE,FALSE
mdn,Mandan,,46.5,-102.5,mand1446,mhq,Siouan,,Core Siouan,mhq,FALSE,FALSE
mdo,Mbodomo,,4.5,15.5,gbay1281,gmm,Niger-Congo,,Gbaya-Manza-Ngbaka,gmm,FALSE,FALSE
mdr,Madurese,,-7,113.5,nucl1460,mad,Austronesian,,Malayo-Sumbawan,mad,FALSE,FALSE
mds,Manadonese,,1.5,124.8333333,mala1481,xmm,Austronesian,,Malayo-Sumbawan,xmm,FALSE,FALSE
mdu,Mündü,,4.5,30,mund1326,muh,Niger-Congo,Adamawa-Ubangi,Ubangi,muh,FALSE,FALSE
mdw,Mbosi,,-1.25,15.5,mbos1242,mdw,Niger-Congo,Benue-Congo,Bantoid,mdw,FALSE,FALSE
mdz,Mada (in Nigeria),,8.75,8.25,mada1282,mda,Niger-Congo,Benue-Congo,Platoid,mda,FALSE,FALSE
