wals code,name,value,description,latitude,longitude,genus,family,area
kha,Khalkha,2,Moderately low,47,105,Mongolic,Altaic,Phonology
kty,Khanty,3,Average,65,65,Ugric,Uralic,Phonology
khr,Kharia,4,Moderately high,22.5,84.33333333,Munda,Austro-Asiatic,Phonology
khs,Khasi,3,Average,25.5,92,Khasian,Austro-Asiatic,Phonology
khm,Khmer,2,Moderately low,12.5,105,Khmer,Austro-Asiatic,Phonology
kmu,Khmu',2,Moderately low,21,102,Khmuic,Austro-Asiatic,Phonology
klv,Kilivila,3,Average,-8.5,151.0833333,Oceanic,Austronesian,Phonology
kio,Kiowa,3,Average,37,-99,Kiowa-Tanoan,Kiowa-Tanoan,Phonology
kgz,Kirghiz,3,Average,42,75,Turkic,Altaic,Phonology
krb,Kiribati,1,Low,1.333333333,173,Oceanic,Austronesian,Phonology
kss,Kisi (Southern),2,Moderately low,8.5,-10.25,Mel,Niger-Congo,Phonology
klm,Klamath,5,High,42.5,-121.5,Klamath-Modoc,Penutian,Phonology
kla,Klao,1,Low,4.75,-8.75,Kru,Niger-Congo,Phonology
koa,Koasati,4,Moderately high,34.83333333,-85.16666667,Muskogean,Muskogean,Phonology
kob,Kobon,2,Moderately low,-5.166666667,144.3333333,Madang,Trans-New Guinea,Phonology
koh,Kohumono,3,Average,6,8.116666667,Cross River,Niger-Congo,Phonology
koi,Koiari,2,Moderately low,-9.5,147.3333333,Koiarian,Trans-New Guinea,Phonology
kzy,Komi-Zyrian,3,Average,65,55,Permic,Uralic,Phonology
kom,Komo,3,Average,8.75,33.75,Koman,Koman,Phonology
kkn,Konkani,2,Moderately low,15.25,74,Indic,Indo-European,Phonology
kor,Korean,2,Moderately low,37.5,128,Korean,Korean,Phonology
kfe,Koromfe,1,Low,14.25,-0.916666667,Northern-Central Gur,Niger-Congo,Phonology
kry,Koryak,3,Average,61,167,Northern Chukotko-Kamchatkan,Chukotko-Kamchatkan,Phonology
kot,Kota,4,Moderately high,11.5,77.16666667,Southern Dravidian,Dravidian,Phonology
ktk,Kotoko,3,Average,11.33333333,15.33333333,Biu-Mandara,Afro-Asiatic,Phonology
koy,Koya,3,Average,17.5,81.33333333,South-Central Dravidian,Dravidian,Phonology
kch,Koyra Chiini,3,Average,17,-3,Songhay,Songhay,Phonology
kse,Koyraboro Senni,3,Average,16,0,Songhay,Songhay,Phonology
kpa,Kpan,4,Moderately high,7.583333333,10.16666667,Platoid,Niger-Congo,Phonology
kpe,Kpelle,3,Average,7,-10,Western Mande,Mande,Phonology
kro,Krongo,2,Moderately low,10.5,30,Kadugli,Kadu,Phonology
kya,Kuku-Yalanji,3,Average,-16,145,Northern Pama-Nyungan,Pama-Nyungan,Phonology
kul,Kullo,4,Moderately high,6.75,37.08333333,North Omotic,Afro-Asiatic,Phonology
kun,Kuna,2,Moderately low,8,-77.33333333,Kuna,Chibchan,Phonology
knm,Kunama,3,Average,14.5,37,Kunama,Kunama,Phonology
kmp,Kunimaipa,3,Average,-8,146.8333333,Goilalan,Trans-New Guinea,Phonology
krd,Kurdish (Central),3,Average,36,44,Iranian,Indo-European,Phonology
kur,Kurukh,3,Average,22.83333333,85.5,Northern Dravidian,Dravidian,Phonology
kut,Kutenai,5,High,49.5,-116,Kutenai,Kutenai,Phonology
kwa,Kwaio,3,Average,-8.95,161,Oceanic,Austronesian,Phonology
kwk,Kwakw'ala,5,High,51,-127,Northern Wakashan,Wakashan,Phonology
kwo,Kwoma,3,Average,-4.166666667,142.75,Nukuma,Sepik,Phonology
lad,Ladakhi,5,High,34,78,Bodic,Sino-Tibetan,Phonology
lah,Lahu,3,Average,20,98.16666667,Burmese-Lolo,Sino-Tibetan,Phonology
lak,Lak,5,High,42.16666667,47.16666667,Lak-Dargwa,Nakh-Daghestanian,Phonology
lkt,Lakhota,4,Moderately high,43.83333333,-101.8333333,Core Siouan,Siouan,Phonology
lkk,Lakkia,4,Moderately high,24.08333333,110.1666667,Kadai,Tai-Kadai,Phonology
lam,Lamé,4,Moderately high,9,14.5,Masa,Afro-Asiatic,Phonology
lan,Lango,1,Low,2.166666667,33,Nilotic,Eastern Sudanic,Phonology
lat,Latvian,3,Average,57,24,Baltic,Indo-European,Phonology
lav,Lavukaleve,3,Average,-9.083333333,159.2,Lavukaleve,Solomons East Papuan,Phonology
